Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,75,75,000,19783,514552,1854440,1399262,2134223,2236360,2342708,2519153,2519153
1,22,22,000,7713,734734,770850,825319,998331,1130502,1148725,1431229,1431229
2,86,86,000,24603,286790,467160,449828,578128,756206,793212,1096937,1096937
3,84,84,000,32983,465302,635997,725495,844952,1067315,1161919,4632352,4632352
4,74,74,000,40634,505623,1636742,1949962,3626137,3908031,4214659,4275043,4275043
5,9,9,000,613036,2459139,2818088,2650320,3118817,3784581,3784581,3784581,3784581
6,10,10,000,1262804,2219196,2362626,2218099,2369084,2579769,2579769,2579769,2579769
7,9,9,000,1013198,1129166,1191082,1323117,1670918,1751120,1751120,1751120,1751120
8,78,78,000,55581,398261,528704,549584,687269,829227,849560,1601953,1601953
9,102,102,000,25363,259038,449463,561379,674747,1073517,1668889,2039972,2085380
10,69,69,000,34780,661523,831749,825533,1002234,1299141,1426640,1511369,1511369
11,58,58,000,36651,394148,544913,497229,619198,702044,734580,849673,849673
12,127,127,000,28482,314894,388538,404088,504276,585714,656008,784596,814728
13,119,119,000,45555,311580,397389,404017,511509,631661,740722,840819,853519
14,120,120,000,21432,288572,384376,403106,501299,621796,658154,769300,773805
15,125,125,000,53669,243740,454106,487884,711568,877372,964363,1040291,1052791
16,100,100,000,11680,293947,381134,379105,477858,545882,590670,758895,758895
17,130,130,000,33185,289051,397713,416907,521233,739336,800628,896830,938266
18,143,143,000,28035,227518,320317,335229,420149,527523,577140,795005,1081748
19,123,123,000,20840,277094,399703,499151,682451,1009768,1126138,1260700,1438793
20,87,87,000,36986,270104,381829,419687,509166,761052,840749,1061264,1061264
21,145,145,000,31286,247451,353721,357560,456546,533167,590952,670738,956900
22,117,117,000,40589,326405,460365,873697,1411466,1694447,2670743,3885093,3909421
23,17,17,000,496400,837273,2278722,1929074,2920265,3061976,3219940,3219940,3219940
24,39,39,000,229608,1957280,2270307,2064619,2448359,2564444,2691319,2762922,2762922
25,5,5,000,1039035,1076047,1144028,1180026,1205244,1435777,1435777,1435777,1435777
26,76,76,000,29198,298461,377200,405696,517332,649215,736175,809354,809354
27,146,146,000,7397,213602,294103,306146,365604,512792,554359,703839,734361
28,143,143,000,20391,259759,392281,397261,523100,619406,704897,978757,1088893
29,154,154,000,42851,194344,285816,312336,398437,493168,587551,1145260,1183380
30,110,110,000,29309,372752,506388,534251,685811,835376,931656,1532999,1547826
31,106,106,000,10507,242110,325469,362808,438326,649175,692502,838361,838516
32,145,145,000,29672,259252,353637,349966,437621,506387,568996,663915,680448
33,145,145,000,7598,219555,341634,353345,478012,562030,611357,756056,793902
34,138,138,000,6541,229327,327383,334376,423250,522083,566523,705644,942658
35,129,129,000,14747,250490,371246,416921,613371,739142,808441,937173,947258
36,133,133,000,39580,285090,374364,398452,491393,634544,803000,1012259,1013960
37,127,127,000,15486,239077,349001,363254,482904,572627,664010,697711,769737
38,144,144,000,5857,267557,362494,347517,430169,505467,552369,650941,685654
39,119,119,000,34743,305599,420802,420985,527128,658079,710085,791079,797229
40,147,147,000,35867,214877,340493,366955,493729,622737,752864,1142275,1155529
41,106,106,000,20095,357201,591200,940183,1568279,2082235,2281669,3214160,3242375
42,14,14,000,278298,1385748,2125748,1916715,2524145,2852920,3349400,3349400,3349400
43,36,36,000,148489,1262725,1480450,1526563,1780310,2287469,2954049,3787073,3787073
44,40,40,000,117724,1200767,2262935,1896680,2544536,2781441,2826240,2826300,2826300
45,18,18,000,100106,1804239,1999842,1872313,2131945,2250858,2324662,2324662,2324662
46,10,10,000,511204,585137,1326811,1034386,1337980,1486954,1486954,1486954,1486954
47,131,131,000,19700,229518,333429,341576,441989,552947,653555,709965,720355
48,151,151,000,27946,226577,291065,310364,376300,509363,550023,656535,750534
49,197,197,000,4377,173253,242522,257667,335276,412658,462189,609085,663589
50,154,154,000,34062,215487,311305,325205,413665,508424,589594,692094,766025
51,141,141,000,49203,241899,344914,342564,432685,500592,536616,599290,779032
52,122,122,000,14045,232068,345581,696174,1150100,1715507,1854723,1996451,2233709
53,34,34,000,260389,461937,572029,676774,882482,1134384,1244976,1860216,1860216
54,122,122,000,23391,295848,380951,375588,459486,509222,594580,675377,1193325
55,167,167,000,12790,201443,262882,801491,1709539,2454234,2539791,2651314,2886436
56,7,7,000,857211,1179208,1862596,1580146,1884239,1887839,1887839,1887839,1887839
57,14,14,000,252900,549685,701028,724863,870134,1009431,1315550,1315550,1315550
58,144,144,000,22751,197362,266986,282610,375461,470160,521016,580195,586227
59,168,168,000,27722,193484,292969,307829,410331,498879,547263,695193,853812
60,133,133,000,18228,244709,406775,417281,547570,630226,893833,1119775,1162797
61,117,117,000,10075,250513,357673,365018,464940,550229,647136,821180,949618
62,161,161,000,31306,201971,306615,324515,432225,549178,645476,727518,935854
63,181,181,000,4631,185090,257583,278940,381059,462388,494285,627896,643805
64,155,155,000,13704,246305,313137,312592,391321,440745,468466,545508,573401
65,123,123,000,12075,323881,433128,468257,590339,741124,936353,1489630,1856930
66,67,67,000,34291,555499,1212463,1479965,2147956,3400108,3593630,3923520,3923520
67,24,24,000,1179373,1771829,2508263,2268833,2739142,2832891,2935192,3361930,3361930
68,20,20,000,6576,1485631,1807997,1613446,1878448,1986929,2075359,2075359,2075359
69,21,21,000,156999,550895,673701,696822,880637,928297,976449,1255745,1255745
70,131,131,000,16743,261500,315817,325316,398829,466354,541142,640665,677750
71,143,143,000,21890,174195,364486,424640,668756,813449,883547,987664,1054160
72,128,128,000,22270,230528,291527,300293,383758,452157,476816,593645,623639
73,159,159,000,17599,237877,313513,331084,413436,487996,567484,798080,948835
74,176,176,000,4495,194032,290112,284601,379126,459905,502989,691926,712382
75,133,133,000,13953,234254,333505,351659,431445,581938,640363,893618,904150
76,163,163,000,18358,213512,280992,317597,410548,507178,596491,793740,838680
77,125,125,000,64645,281298,406578,442392,597908,709524,804049,913392,1016618
78,125,125,000,43064,248284,345859,391797,471076,663885,821685,1092725,1100172
79,137,137,000,33237,263984,355676,350547,434609,477602,613837,782334,899557
80,89,89,000,10175,382819,837968,1133762,1392970,3103268,3379243,4186970,4186970
81,32,32,000,386864,2411847,2619577,2543402,3075900,3336351,3478716,3660445,3660445
82,7,7,000,1488868,1944277,2387076,2225980,2432878,2545624,2545624,2545624,2545624
83,16,16,000,335694,829452,1065739,992583,1169913,1368202,1439107,1439107,1439107
84,99,99,000,8436,271366,349542,354405,450030,546772,621707,738702,738702
85,144,144,000,17473,236272,345359,383936,454298,651846,881074,1317884,1324486
86,145,145,000,6587,208268,326327,314336,397034,506171,544927,610705,656193
87,199,199,000,17532,156251,233149,259247,317347,423833,466486,1121624,1128409
88,129,129,000,36116,288027,369997,408615,465763,594956,762412,1083175,2361204
89,86,86,000,19864,328973,665919,984334,1706397,2209820,2251720,2291499,2291499
90,24,24,000,97069,1132551,1497732,1362559,1784964,1808971,1814926,1915542,1915542
91,70,70,000,63923,282581,431510,553570,609377,844906,1561167,2955363,2955363
92,60,60,000,43802,661219,2070373,1675578,2388455,2565425,2695727,2753451,2753451
93,9,9,000,447565,1061785,1404157,1372998,1833038,1981638,1981638,1981638,1981638
94,58,58,000,83420,284615,413236,415338,490984,649628,909741,1099727,1099727
95,161,161,000,29095,224697,313312,315123,404298,463663,533289,667497,689917
96,120,120,000,21776,265852,413060,457842,676100,771526,849574,906793,955148
97,143,143,000,5271,210522,310837,310353,389492,485997,540346,750644,773196
98,142,142,000,25005,266365,352132,367315,441120,562381,604090,932290,1029907
99,135,135,000,7219,257339,346180,358972,449459,524028,640208,988667,1023317
100,178,178,000,16348,200453,290915,293302,363794,471791,540466,842679,1032871
101,142,142,000,13571,241324,324229,323980,401448,480304,511593,650918,834481
102,158,158,000,16348,237244,311807,336320,434885,534352,638498,878522,990471
103,139,139,000,39010,239301,327330,351485,434843,543978,671824,849734,1170454
104,155,155,000,20099,240930,346893,425178,501967,898032,1057360,1341064,1379202
105,61,61,000,54363,398134,591557,588003,729393,937571,961926,1188442,1188442
106,167,167,000,4136,217345,289035,291348,377908,444754,463617,631600,802483
107,176,176,000,9992,193974,266481,275823,360629,437307,506920,585990,596700
108,159,159,000,16450,204196,311993,372453,423563,610325,1044497,1754234,2394987
109,61,61,000,86197,963188,1368726,1320486,1626506,1922118,2535812,3263236,3263236
110,24,24,000,318760,1864331,1981619,1795379,2093365,2200489,2290739,2515857,2515857
111,28,28,000,814987,1439696,1666880,1530377,1753887,1794109,1805791,1837588,1837588
112,92,92,000,2881,159865,216137,252244,299987,474266,529096,1021207,1021207
113,162,162,000,17191,223613,298611,309106,389639,463945,555071,830697,892139
114,138,138,000,19094,212835,364849,395088,568296,719260,859632,915953,930662
115,144,144,000,78246,265554,351720,364470,459997,544643,647138,759974,796985
116,124,124,000,33657,249997,382967,371601,490041,568720,618798,706943,730523
117,142,142,000,18199,254015,337815,357917,434297,575598,656644,939758,966784
118,57,57,000,26452,511545,943124,912544,1226155,1430417,1582295,1635931,1635931
119,1,1,000,864198,864198,864198,864198,864198,864198,864198,864198,864198
